epoch,loss,accuracy
1,1.4362422166780964,0.35
2,1.3324168556406628,0.35833333333333334
3,1.2378619525233403,0.35833333333333334
4,1.1504979170534506,0.39166666666666666
5,1.0689813636474434,0.4166666666666667
6,0.9908484257265336,0.5083333333333333
7,0.9182670696236873,0.725
8,0.8515230690405876,0.825
9,0.7908531949584834,0.8333333333333334
10,0.7348016371569337,0.8416666666666667
11,0.683247527790959,0.8416666666666667
12,0.6363096569977408,0.85
13,0.5938536916442207,0.8583333333333333
14,0.5556768264095225,0.8666666666666667
15,0.5206709951437325,0.875
16,0.48825376392687914,0.8833333333333333
17,0.458766246214181,0.8916666666666667
18,0.4317598337685769,0.8916666666666667
19,0.40677434550974695,0.8916666666666667
20,0.38383643386688415,0.9
21,0.3631793899645348,0.9
22,0.3443460294637232,0.9
23,0.326987648854099,0.9083333333333333
24,0.31087537612946525,0.9083333333333333
25,0.29606552239167433,0.9083333333333333
26,0.2824014458134678,0.9083333333333333
27,0.2698156670293244,0.9083333333333333
28,0.25830012805585095,0.9166666666666666
29,0.24816659417783965,0.9333333333333333
30,0.23929515008486762,0.9333333333333333
31,0.23108713971393915,0.9333333333333333
32,0.2234041084363642,0.9333333333333333
33,0.21615412209216914,0.9333333333333333
34,0.20925906728745622,0.9416666666666667
35,0.20266113150279075,0.9416666666666667
36,0.19631854918446068,0.9416666666666667
37,0.19012844463803352,0.9416666666666667
38,0.1840674532904358,0.9416666666666667
39,0.1781868770049408,0.9416666666666667
40,0.17249491691398447,0.9416666666666667
41,0.16706075932402198,0.9416666666666667
42,0.16191603671648178,0.9416666666666667
43,0.15701599047408726,0.9416666666666667
44,0.15229505238115693,0.9333333333333333
45,0.14773978326185422,0.9333333333333333
46,0.14337889642284515,0.9333333333333333
47,0.13924839812352896,0.9333333333333333
48,0.13533109601273569,0.9416666666666667
49,0.1315248529270695,0.9416666666666667
50,0.12784359338682458,0.95
51,0.12430543743179105,0.95
52,0.12092973768004224,0.95
53,0.11772048289977226,0.95
54,0.11474385981549669,0.9583333333333334
55,0.1118904961463915,0.9666666666666667
56,0.10909324061816443,0.9666666666666667
57,0.10634022996596636,0.9666666666666667
58,0.10362919361461444,0.9666666666666667
59,0.10096833876582784,0.9666666666666667
60,0.0983764099030116,0.9666666666666667
61,0.09594621441405056,0.9666666666666667
62,0.0936285203365814,0.975
63,0.09141636488915772,0.975
64,0.08931418805567957,0.975
65,0.08731667954154965,0.975
66,0.08542930905085376,0.975
67,0.08363779887083475,0.975
68,0.08193785398365282,0.975
69,0.08032688836045436,0.975
70,0.07879170619358347,0.975
71,0.077325822958096,0.975
72,0.07592953526655374,0.975
73,0.07460399300892462,0.975
74,0.07337691330330097,0.975
75,0.07221608556271326,0.975
76,0.07110884929404684,0.975
77,0.0700692497801721,0.975
78,0.06908644564515881,0.975
79,0.06814065053894187,0.975
80,0.06723976741098817,0.975
81,0.06638232337630165,0.975
82,0.06559887592621377,0.975
83,0.0648617684422495,0.975
84,0.06415241805510005,0.975
85,0.06346458695289117,0.975
86,0.06280778342792354,0.975
87,0.06218842935260535,0.975
88,0.06160112206494491,0.975
89,0.061046246712493285,0.975
90,0.0605104287700315,0.975
91,0.05999712038987389,0.975
92,0.0594942741695261,0.975
93,0.05903055168462206,0.975
94,0.05857649490555143,0.975
95,0.058134284789021946,0.975
96,0.05771539015953431,0.975
97,0.057312542260040414,0.975
98,0.05692152600767918,0.975
99,0.05654165926631823,0.975
100,0.05617530536162999,0.975
101,0.0558227094080229,0.975
102,0.05548117228528024,0.9833333333333333
103,0.05514917534969272,0.9833333333333333
104,0.05482782894348103,0.9833333333333333
105,0.054518010552713346,0.9833333333333333
106,0.054218313810206906,0.9833333333333333
107,0.05392706057060895,0.9833333333333333
108,0.053644436511479966,0.9833333333333333
109,0.05337123149758092,0.9833333333333333
110,0.0531068322057183,0.9833333333333333
111,0.052849883541717484,0.9833333333333333
112,0.05260041472708539,0.9833333333333333
113,0.052358738813732944,0.9833333333333333
114,0.05212422233767456,0.9833333333333333
115,0.0519002811342052,0.9833333333333333
116,0.05167659473652927,0.9833333333333333
117,0.05146123252289121,0.9833333333333333
118,0.051249179349430254,0.9833333333333333
119,0.05104330959076565,0.9833333333333333
120,0.0508445461740528,0.9833333333333333
121,0.05064983424956962,0.9833333333333333
122,0.05045795218009111,0.9833333333333333
123,0.05027083958768771,0.9833333333333333
124,0.05008932350201566,0.9833333333333333
125,0.049911512407548334,0.9833333333333333
126,0.049736241762450936,0.9833333333333333
127,0.04956468220200532,0.9833333333333333
128,0.04939756578207207,0.9833333333333333
129,0.049233737276421434,0.9833333333333333
130,0.04907230304205138,0.9833333333333333
131,0.0489139180843649,0.9833333333333333
132,0.048759183721590146,0.9833333333333333
133,0.04860736100306521,0.9833333333333333
134,0.0484577151582368,0.9833333333333333
135,0.04831062608873007,0.9833333333333333
136,0.04816788916096755,0.9833333333333333
137,0.04802506103960371,0.9833333333333333
138,0.04788703129148892,0.9833333333333333
139,0.047748935605791645,0.9833333333333333
140,0.047612295010255413,0.9833333333333333
141,0.0474798008864027,0.9833333333333333
142,0.04735007327177051,0.9833333333333333
143,0.04722077374605631,0.9833333333333333
144,0.04709296963793529,0.9833333333333333
